n,number_of_clusters,does_span,total_cluster_area,occupation_prob
302,281,False,0.002272519342065253,0.02013199120058663
303,282,False,0.002272519362394537,0.020198653423105128
304,283,False,0.0022725193716518657,0.020265315645623627
305,284,False,0.0022725193716518657,0.020331977868142125
306,284,False,0.002272519373738619,0.020398640090660624
307,285,False,0.0022725193737395343,0.020465302313179123
308,286,False,0.0022725193737440077,0.02053196453569762
309,287,False,0.0022725193737448946,0.02059862675821612
310,288,False,0.0022725193743533168,0.02066528898073462
311,289,False,0.002272519379098994,0.020731951203253118
312,290,False,0.002272519591960546,0.020798613425771616
313,290,False,0.0022761312729810516,0.020865275648290115
314,290,False,0.0022761312730845253,0.020931937870808614
315,291,False,0.0022761415220561645,0.020998600093327113
316,291,False,0.002276433338772429,0.02106526231584561
317,291,False,0.002276435697972761,0.02113192453836411
318,292,False,0.0022765198483502874,0.02119858676088261
319,293,False,0.002276520056215673,0.021265248983401108
320,294,False,0.0022769373947500835,0.021331911205919606
321,295,False,0.0022769374529761533,0.021398573428438105
322,296,False,0.0022769435618474293,0.021465235650956604
323,296,False,0.002276945248703057,0.021531897873475103
324,297,False,0.002276945248707184,0.0215985600959936
325,298,False,0.0022769452488574137,0.0216652223185121
326,299,False,0.0022846284586346666,0.0217318845410306
327,300,False,0.002284628484394515,0.021798546763549097
328,301,False,0.0022846289578674493,0.021865208986067596
329,302,False,0.002287017433169605,0.021931871208586095
330,303,False,0.0022870174349750093,0.021998533431104594
331,304,False,0.0022876307021328867,0.022065195653623092
332,305,False,0.002287630702151461,0.02213185787614159
333,306,False,0.0022898583917466335,0.02219852009866009
334,307,False,0.002289858493510745,0.02226518232117859
335,308,False,0.002291360171060065,0.022331844543697087
336,309,False,0.016280749489281775,0.022398506766215586
337,310,False,0.016280757427341832,0.022465168988734085
338,311,False,0.016283967359327377,0.022531831211252584
339,312,False,0.016283967359743665,0.022598493433771082
340,313,False,0.016283967363084892,0.02266515565628958
341,314,False,0.01628396736350122,0.02273181787880808
342,315,False,0.01628396736656407,0.02279848010132658
343,316,False,0.01628418519889882,0.022865142323845077
344,316,False,0.016287042599294782,0.022931804546363576
345,317,False,0.016287042617035907,0.022998466768882075
346,318,False,0.016287043468775395,0.023065128991400573
347,319,False,0.016287043469151392,0.023131791213919072
348,320,False,0.016287043469259223,0.02319845343643757
349,321,False,0.016287043469259282,0.02326511565895607
350,322,False,0.0162870435171173,0.02333177788147457
351,321,False,0.01629428250957233,0.023398440103993067
352,322,False,0.01629428250958507,0.023465102326511566
353,323,False,0.01629428250958984,0.023531764549030065
354,324,False,0.016294282510413233,0.023598426771548563
355,325,False,0.01629455254397303,0.023665088994067062
356,326,False,0.01629455261222859,0.02373175121658556
357,327,False,0.016294691515855088,0.02379841343910406
358,328,False,0.016294756669045393,0.02386507566162256
359,329,False,0.01629475667270803,0.023931737884141057
360,330,False,0.016295374849755576,0.023998400106659556
361,331,False,0.016295542724465418,0.024065062329178055
362,331,False,0.016446631737231827,0.024131724551696553
363,332,False,0.016446631778688103,0.024198386774215052
364,333,False,0.01644680206541655,0.02426504899673355
365,334,False,0.016446825655665007,0.02433171121925205
366,335,False,0.016446825655679818,0.024398373441770548
367,336,False,0.016446855855010344,0.024465035664289047
368,337,False,0.016446855856991422,0.024531697886807546
369,338,False,0.016446855857702114,0.024598360109326044
370,339,False,0.016446856088801753,0.024665022331844543
371,340,False,0.016446857537539553,0.024731684554363042
372,341,False,0.01644685756549836,0.02479834677688154
373,342,False,0.016446857654546974,0.02486500899940004
374,343,False,0.01644685769254269,0.024931671221918538
375,344,False,0.0164468576925427,0.024998333444437037
376,345,False,0.016446929323939263,0.025064995666955536
377,346,False,0.016446929338156644,0.025131657889474034
378,346,False,0.016447176870294514,0.025198320111992533
379,347,False,0.016447189634911055,0.025264982334511032
380,348,False,0.016447189634931317,0.02533164455702953
381,349,False,0.016562323794370802,0.02539830677954803
382,350,False,0.016562323875314665,0.025464969002066528
383,351,False,0.01656232387571218,0.025531631224585027
384,351,False,0.016562323876401504,0.025598293447103525
385,352,False,0.016562323876406413,0.025664955669622024
386,352,False,0.01656232696094171,0.025731617892140523
387,353,False,0.016562326972186712,0.02579828011465902
388,354,False,0.016562327256974502,0.02586494233717752
389,355,False,0.01656232725713374,0.02593160455969602
390,356,False,0.016562327276561695,0.025998266782214518
391,357,False,0.016562394418410654,0.026064929004733017
392,358,False,0.016562395895107555,0.026131591227251515
393,359,False,0.016562395912838864,0.026198253449770014
394,360,False,0.01656240390461803,0.026264915672288513
395,361,False,0.016562403918964855,0.02633157789480701
396,362,False,0.016562403934416048,0.02639824011732551
397,363,False,0.016562403963178207,0.02646490233984401
398,364,False,0.016562435224891665,0.026531564562362508
399,365,False,0.016562435224912388,0.026598226784881007
400,366,False,0.016562435955546156,0.026664889007399505
401,367,False,0.01656243595998523,0.026731551229918004
402,368,False,0.016562435959985553,0.026798213452436503
403,369,False,0.01656243596819508,0.026864875674955
404,370,False,0.016562436067774425,0.0269315378974735
405,371,False,0.016562436067932777,0.026998200119992
406,372,False,0.016562436069435155,0.027064862342510498
407,373,False,0.016562436073674188,0.027131524565028996
408,374,False,0.016562436073675895,0.027198186787547495
409,375,False,0.016562436073700712,0.027264849010065994
410,376,False,0.016562437780758364,0.027331511232584493
411,377,False,0.016562437791311245,0.027398173455102995
412,378,False,0.01656243820008949,0.027464835677621494
413,379,False,0.01656243900628738,0.027531497900139992
414,380,False,0.016562440160637203,0.02759816012265849
415,381,False,0.016562440160640166,0.02766482234517699
416,382,False,0.016562440160881684,0.02773148456769549
417,383,False,0.01656244016089177,0.027798146790213987
418,384,False,0.01656244016089238,0.027864809012732486
419,385,False,0.0165624606223426,0.027931471235250985
420,386,False,0.016562460622355682,0.027998133457769483
421,387,False,0.016562460653880336,0.028064795680287982
422,388,False,0.01656246065398521,0.02813145790280648
423,389,False,0.01656246194461215,0.02819812012532498
424,389,False,0.016589014849222507,0.02826478234784348
425,390,False,0.016589014849941228,0.028331444570361977
426,391,False,0.01658903164740648,0.028398106792880476
427,392,False,0.01658903202429126,0.028464769015398975
428,393,False,0.016590587341161277,0.028531431237917473
429,393,False,0.016590587345326462,0.028598093460435972
430,393,False,0.01673950856736981,0.02866475568295447
